year,median,best_case,worst_case,expected_range_low,expected_range_high,nominal_median,real_median
0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0
1,502943.66,573157.88,441999.28,470294.97,538937.64,502943.66,476723.85
2,668439.91,794432.72,563696.06,609908.43,731279.42,668439.91,600561.45
3,848686.07,1039703.42,694534.06,761480.29,942319.83,848686.07,722752.65
4,1041498.68,1309921.52,830356.26,925354.72,1174214.23,1041498.68,840715.17
5,1251796.5,1610666.31,981250.94,1097890.16,1431042.54,1251796.5,957792.51
6,1476091.66,1949967.64,1133502.86,1282448.02,1706183.7,1476091.66,1070529.33
7,1727128.7,2310967.21,1298577.08,1480515.36,2010591.16,1727128.7,1187291.84
8,1987350.95,2711076.82,1470827.64,1696269.66,2340753.56,1987350.95,1294955.63
9,2269214.76,3172969.17,1669347.31,1925955.88,2708316.35,2269214.76,1401533.43
10,2591646.23,3672925.53,1862666.06,2174970.71,3099778.38,2591646.23,1517228.96
